file,family,bytes,sha256,mode,operator_events,assistant_events,notes
direct/chimera_correction_brief.md,chimera_evidence,2793,168fb867e55af493d0df2d195d32b497ba2652b5413474b6c531d192dbfb5002,artifact,0,0,Validated mechanical parse found no explicit operator segments; retained as artifact evidence.
direct/chimera_kernel.md,chimera_evidence,9762,07097926106669bcac767234e1febd8076ac9223344f74ce817d19f233360dcf,artifact,0,0,Validated mechanical parse found no explicit operator segments; retained as artifact evidence.
direct/chimera_node_registry.cinr,chimera_evidence,7965,0d8348b30e938b7bd60114d766d0791872ac77184118a910def3a786656df165,artifact,0,0,
direct/chimera_round_robin_protocol.md,chimera_evidence,1210,d91506730a3b3ed85d7c75bed74742ace6bc067bcc72213825db21feff5dc332,artifact,0,0,Validated mechanical parse found no explicit operator segments; retained as artifact evidence.
direct/chimera_ust_vnext_rules.yaml,chimera_evidence,1663,ce6fa0656e1d05296131c3317e857394bb67703b9d0d38c2ef4fcc98eab4c082,artifact,0,0,
direct/local_session_export.txt,local_session_export,30350,1d220fe2409ff68cd45967baab68987d7f6eced9f3092966f49b6f8325bf6a2e,artifact,0,0,Validated mechanical parse found no explicit operator segments; retained as artifact evidence.
direct/who_dat.pdf,direct_pdf,1374089,9bbda53cf448080b88082fa1fafbe5a1379e06771fc69e2f64cbe01eca7eff8b,artifact,0,0,
direct/who_dat_extracted.txt,pdf_text_derivative,290937,585d0085485d974ae9e50453f9defac7c6d2b2f0ad15a94d42f7c4daa7ae308e,artifact,0,0,Validated mechanical parse found no explicit operator segments; retained as artifact evidence.
o16e/O16E_HISTORY_GROUNDED_DERIVATION_v0_1.md,O16E_sample_archive,10296,8ffa56125da48c809ea0c385c998b358af6279df567814141887cc475449a8a7,artifact,0,0,Validated mechanical parse found no explicit operator segments; retained as artifact evidence.
o16e/O16E_LOSS_CLASS_COVERAGE_MATRIX_v0_1.md,O16E_sample_archive,12984,58fb602bf5c76f97cf34ff9dcef787545e1306ad0e5dc76019d7309fd6ab5eda,artifact,0,0,Validated mechanical parse found no explicit operator segments; retained as artifact evidence.
o16e/O16E_MUTATION_LEDGER_v0_1.md,O16E_sample_archive,5485,84dbd61f9d06194f02cb639316f802fe96f51c7fb21a3cc1493f8114a2f97eef,artifact,0,0,Validated mechanical parse found no explicit operator segments; retained as artifact evidence.
o16e/O16E_loss_class_report.html,O16E_sample_archive,10663,687b4af05ef01c0441ad63fe9bb212834bf853c652fc3f04802fbeb6b6e5382d,artifact,0,0,
o16e/README_O16E.md,O16E_sample_archive,1823,35c1a263b136fdbad35dafb6d139df7a69552a7dd52a1cdea6c367d3cddba49c,artifact,0,0,Validated mechanical parse found no explicit operator segments; retained as artifact evidence.
o16e/SESSION_CLOSE_2026-07-20.md,O16E_sample_archive,3834,bba0f7d5acbd678342045b4f41c157134a43f5845e6b816b0e36f3133cabf60a,artifact,0,0,Validated mechanical parse found no explicit operator segments; retained as artifact evidence.
o16e/SSOT_PATCHES_append_ready.md,O16E_sample_archive,6071,784f088013cabb50044defecc650153baedbfc3bc604f12c38c39dbf9573099f,artifact,0,0,Validated mechanical parse found no explicit operator segments; retained as artifact evidence.
o16e/corpus_hash_inventory.json,O16E_sample_archive,26612,ea54bcb60f0fc509571706fe153abd6e293495dc029908e423caab311d2ee56f,artifact,0,0,
o16e/harvest_lossclass.py,O16E_sample_archive,9445,27f61073e8a650b6fa1dddfe4dba4de0afc8f1d30aace7733c0a1463277b6949,artifact,0,0,
o16e/lossclass_metrics.json,O16E_sample_archive,32737,57f639cc3ea3b8bbaa45846ff91f21a405b198c30a9109469c80106f9206adfe,artifact,0,0,
o16e/structural_census.json,O16E_sample_archive,30152,086b4b069eb2de9a0e59f5df3bc772d3284054ae17d5705e839858248743cc93,artifact,0,0,
o16e/thread_distillates/TH-01_begin_gpt.md,O16E_sample_archive,22986,96f452f0fbe3bf31768370d93ce92bc0612068a1ed570b3275b05dcdec989ee8,structured_transcript,10,9,
o16e/thread_distillates/TH-02a_chatgpt.md,O16E_sample_archive,110397,fbd79fa775139ccaee35ef090c5ea6332d6c32b87808eed11161118af3f6ed68,structured_transcript,10,5,
o16e/thread_distillates/TH-02b_chatgpt1.md,O16E_sample_archive,194304,e2182f4a10533b4c716a4cdd3975d54ce5e138e92e42a993f9f0e0fed7c46e22,structured_transcript,13,6,
o16e/thread_distillates/TH-02c_chatgpt2.md,O16E_sample_archive,376,4051400d0eecd4b84e8a1e6e95b326d7dbce36d51b607942938c7e01e39bd940,artifact,0,0,
o16e/thread_distillates/TH-02d_chatgpt3.md,O16E_sample_archive,376,86cd4b5bb897fc638adc9fabf1f5c1a9975ff9882bd4c5ded079301b4b09ef3c,artifact,0,0,
o16e/thread_distillates/TH-03_momoney_dev.md,O16E_sample_archive,108568,b9ee21f79f98406e73bf0528db6c75e5dcdd2260b41989f6de57e37a15fbd830,structured_transcript,19,18,
o16e/thread_distillates/TH-04_dumbass.md,O16E_sample_archive,254,e8b9156a6748b359315a7630d13449265702c5f8e78f3c1fa059592e1dbad929,artifact,0,0,
o16e/thread_distillates/TH-05a_gemini_gem.md,O16E_sample_archive,129575,7c1232b94ab4d8c8960839326a09341d772e44d3247e442c9a26e38d290fe27d,structured_transcript,9,0,
o16e/thread_distillates/TH-05b_1213.md,O16E_sample_archive,171191,ebbf2f66f9eba1fdf4faa1f8a3967f1c1afd56ad3c21ddfaff311f8fae39b4e3,structured_transcript,16,16,
o16e/thread_distillates/TH-06_song_review_T01.md,O16E_sample_archive,2471,dffceed0eba9f08d3578c0f93f92988f93b66df2d618d462a2d4ff1c47fd35ac,artifact,0,0,Validated mechanical parse found no explicit operator segments; retained as artifact evidence.
o16e/thread_distillates/TH-07_taxonomy.md,O16E_sample_archive,93285,e21aef02974f574b149bcf635adc326d993c3dcfedf25729e4759a1c4235c45e,structured_transcript,12,1,
o16e/thread_distillates/TH-08_houseinorder.md,O16E_sample_archive,520631,8b19b90fefddd8849b4925a0d1589269a2a53fd97ccd5e8bf9eca00804c895dc,structured_transcript,44,39,
o16e/thread_distillates/TH-09_inmyroom.md,O16E_sample_archive,73304,2734600a313569f8b0ea694eef3d27c8d874a9339cc0504f1f163d0f6a2dc5ac,structured_transcript,8,8,
o16e/thread_distillates/TH-10_sem_matrix_design.md,O16E_sample_archive,122265,60f8ebfaac6621315b2831571f39963b924daf685ac52a0a285717251c39b87b,structured_transcript,20,20,
o16e/thread_distillates/TH-11_os_dev.md,O16E_sample_archive,506918,264af90c40e36495817fbedcd733f57967848286613193f522c06e105ce51795,structured_transcript,20,15,
o16e/thread_distillates/TH-13_chimera_devsession.md,chimera_evidence,252,10d7f5af947c8b600ba535cc9695129be3ecf2f06b18f879a0fdd681227e5443,artifact,0,0,
