path,type,git_object,bytes,retrieved
.claude/commands/goal.md,blob,4a0067ea80958d452f9470a3ace234a58c3c5c97,1555,True
.claude/skills/maestro-forensic-transcript/00_OPERATOR_ABOUT_ME.md,blob,90c678e8acfdb18cc059ac72e782bdf1809f499e,7128,True
.claude/skills/maestro-forensic-transcript/01_METHODOLOGY.md,blob,b0f143015b948938a648670a29538ea6c493226a,5896,True
.claude/skills/maestro-forensic-transcript/02_FAILURE_MODES.md,blob,abd2871bf74cdf9bef19b4709913bd86f4bf4c78,8040,True
.claude/skills/maestro-forensic-transcript/03_WHY_AI_DEFAULTS_HERE.md,blob,316799609c7233cbddeb986833bbafcc4e05e951,11915,True
.claude/skills/maestro-forensic-transcript/04_KERNEL.md,blob,b8bec19f0600bd0e5513f34ac99f360c362f60cf,5243,True
.claude/skills/maestro-forensic-transcript/05_WORKFLOW.md,blob,9229c1711c2478740dc84cfac592612a8f111ed0,4482,True
.claude/skills/maestro-forensic-transcript/06_LESSONS_LEARNED_2026-07.md,blob,1083cdfdc994510d1d1e494bba8c30266051c15f,4385,True
.claude/skills/maestro-forensic-transcript/CLAUDE.md,blob,5a01b362f6be59b2e73950142abbadeb1c5c9046,1587,True
.claude/skills/maestro-forensic-transcript/MANIFEST.yaml,blob,f15a1918fdffda30f48b56015d0c2bd24ade2368,4890,True
.claude/skills/maestro-forensic-transcript/OPERATOR_CONTEXT.md,blob,bd3718ae58ee90cb19749475c1db70d9fc540306,2901,True
.claude/skills/maestro-forensic-transcript/README_FIRST.md,blob,3b2793a78676091c6e3aa0b2b2b45810ccd9e17f,1210,True
.claude/skills/maestro-forensic-transcript/SKILL.md,blob,098f2c3c4c076ac2c9ea88ad5ad685c2102b64d6,11086,True
.claude/skills/maestro-forensic-transcript/SKILL_v1_ORIGINAL.md,blob,234df5a9c66b89a6a026958fe182d1f40dcb8cbd,9516,True
.claude/skills/maestro-forensic-transcript/examples/EX01_flagship_no_parse_correction.md,blob,6bfbba9d2326747429955a3000b39c0bc0eed772,1407,True
.claude/skills/maestro-forensic-transcript/examples/EX02_recovered_operator_inputs.md,blob,b1587b1ff55fac04f26f703e1a0fc6569c3013d4,1366,True
.claude/skills/maestro-forensic-transcript/examples/EX03_contradiction_preservation_CR2.md,blob,a43c7309957a7318d83a3585b4490be29c0f60ef,1135,True
.claude/skills/maestro-forensic-transcript/patterns/classify_mutation.md,blob,55436d44f50eacb1d5931089f9e9ca400d876830,1163,True
.claude/skills/maestro-forensic-transcript/patterns/detect_phantom_commitment.md,blob,44b7fcaaf197d6e24553ac271274ba66e69dd7f3,767,True
